Date,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
4 January 2023,"বিদেশিদের জ্ঞান খুবই সীমিত, বাংলাদেশ সম্পর্কে সবচেয়ে ভালো জ্ঞান রাখেন বাঙালিরা—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,30,69,1
3 January 2023,নির্বাচনে কোনো ধরনের অনিয়মকে একেবারেই প্রশ্রয় দেবে না নির্বাচন কমিশন (ইসি)—নির্বাচন কমিশনার মো. আহসান হাবিব খানের এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,17,82,1
2 January 2023,"গণপরিবহনব্যবস্থা হয়ে উঠছে মোটরসাইকেল ও সিএনজিচালিত অটোরিকশানির্ভর, তাতে বেপরোয়াভাবে বাড়ছে সড়ক দুর্ঘটনা—যাত্রী কল্যাণ সমিতির এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,78,21,1
1 January 2023,দলীয় সরকারের অধীনে সুষ্ঠু নির্বাচন করা যায় বলে মনে করেন নির্বাচন কমিশনার আনিছুর রহমান। আপনি কি তা মনে করেন?,0,8,91,1
7 December 2022,"দেশে আইনের শাসনের প্রতি সম্মান দেখাতে এবং সহিংসতা, হয়রানি ও ভয়ভীতি প্রদর্শন থেকে বিরত থাকতে সব রাজনৈতিক দলের প্রতি আহ্বান জানিয়েছেন মার্কিন পররাষ্ট্র দপ্তরের মুখপাত্র নেড প্রাইস। রাজনৈতিক দলগুলো তাঁর এ আহ্বানে সাড়া দেবে বলে আপনার কি মনে হয়?",4610,2,97,1
6 December 2022,দেশের ৭৫ শতাংশ মাটিতে প্রয়োজনীয় জৈব ও রাসায়নিক উপাদানের ঘাটতি আছে। মাটির স্বাস্থ্য সুরক্ষায় সারের যৌক্তিক ব্যবহার নিশ্চিত করতে সরকার কার্যকর উদ্যোগ নেবে বলে মনে করেন কি?,3117,5,94,1
5 December 2022,নিত্যপণ্যের দামে স্বস্তির খবর না থাকলেও অক্টোবরের চেয়ে নভেম্বরে মূল্যস্ফীতি কমেছে—বিবিএসের এ হিসাবে আস্থা আছে কি?,4581,7,92,1
4 December 2022,আওয়ামী লীগ ও বিএনপির অর্থের উৎস প্রকাশ করা উচিত—গণস্বাস্থ্য কেন্দ্রের ট্রাস্টি জাফরুল্লাহ চৌধুরীর এ বক্তব্যর সঙ্গে আপনি কি একমত?,5412,98,1,1
3 December 2022,"প্রবৃদ্ধি হচ্ছে, শিক্ষার হার বাড়ছে, কিন্তু দীর্ঘদিন ধরে চলা নাগরিক সমস্যাগুলোর সমাধান হচ্ছে না—সিপিডির চেয়ারম্যান অধ্যাপক রেহমান সোবহানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",4988,97,2,1
2 December 2022,পুলিশ বাধা দিয়ে বিএনপির তিন ঘণ্টার সমাবেশকে তিন দিনের সমাবেশে পরিণত করছে—বিএনপির নেতা রুহুল কুদ্দুস তালুকদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5584,95,4,1
1 December 2022,"গাইবান্ধা উপনির্বাচনে অনিয়মের জন্য কর্মকর্তাদের বিরুদ্ধে ব্যবস্থা নেবে ইসি, তবে প্রার্থীদের বিষয়ে কিছু হচ্ছে না। নির্বাচন কমিশনের এই ভূমিকায় আপনি কি সন্তুষ্ট?",3493,5,94,1
30 November 2022,ইচ্ছেমতো দাম বাড়াতেই সরকার আইন সংশোধন করে গ্যাস ও বিদ্যুতের দাম নির্ধারণের ক্ষমতা নিজেদের হাতে নিতে চায়—অধ্যাপক ম তামিমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,4895,95,4,1
29 November 2022,সিন্ডিকেট করে কাগজের দাম বাড়িয়ে দেওয়া হচ্ছে অভিযোগ করে কাগজের আমদানি শুল্ক প্রত্যাহারসহ বাজার নিয়ন্ত্রণে সরকারের হস্তক্ষেপ দাবি করেছে বাংলাদেশ পুস্তক প্রকাশক ও বিক্রেতা সমিতি। আপনি কি তা সমর্থন করেন?,3389,96,3,1
28 November 2022,বিশ্ববিদ্যালয়ে ভর্তিতে শিক্ষার্থীদের বয়সের বাধা তুলে দেওয়ার পক্ষে শিক্ষামন্ত্রী দীপু মনি। আপনি কি তা সমর্থন করেন?,5458,92,7,1
27 November 2022,"ওই দিন আমরাও মাঠে থাকব, আমরা তাঁদের কোনো বাধা দেব না—১০ ডিসেম্বর ঢাকায় বিএনপির সমাবেশ নিয়ে আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যে আপনি কি আস্থা রাখেন?",23520,77,23,0
26 November 2022,"মানুষ ২৫ হাজার টাকার জন্য জেলে যাচ্ছেন, আর হাজার হাজার কোটি টাকার ঋণখেলাপিরা বহাল তবিয়তে আছেন, এটা মেনে নেওয়া যায় না—সাবেক ডাক ও টেলিযোগাযোগ প্রতিমন্ত্রী তারানা হালিমের এই বক্তব্যের সঙ্গে আপনি কি একমত?",9453,98,1,1
25 November 2022,বিএনপি প্রতিদিন দেশের বিভিন্ন স্থানে নির্বিঘ্নে সভা-সমাবেশ করছে বলে মন্তব্য করেছেন আওয়ামী লীগের সাধারণ সম্পাদক ও সেতুমন্ত্রী ওবায়দুল কাদের। তাঁর এ বক্তব্যের সঙ্গে আপনি কি একমত?,7743,9,90,1
24 November 2022,সরকারের তরফ থেকে সহযোগিতা না থাকলে নির্বাচনে কাঙ্ক্ষিত মাত্রায় সফলতা আসবে না—প্রধান নির্বাচন কমিশনার কাজী হাবিবুল আউয়ালের এই বক্তব্য আপনি কি সমর্থন করেন?,5427,95,3,2
23 November 2022,বিএনপির সমাবেশের দিন আওয়ামী লীগ রাজপথে থাকলে সংঘাত হতে পারে বলে মনে করছেন অধ্যাপক আবুল কাসেম ফজলুল হক। আপনি কি তাঁর সঙ্গে একমত?,5458,97,2,1
22 November 2022,দেশে আগামী ফেব্রুয়ারি মাস পর্যন্ত মূল্যস্ফীতি ধারাবাহিকভাবে কমবে—পরিকল্পনামন্ত্রী এম এ মান্নানের এই বক্তব্যে আপনি কি আস্থা রাখেন?,4673,7,92,1
21 November 2022,দাম না বাড়িয়ে লুণ্ঠনমূলক ব্যয় ও অদক্ষতা কমিয়ে বিদ্যুৎ খাতে ভর্তুকি কমানো যেত বলে মনে করছেন ক্যাবের জ্যেষ্ঠ সহসভাপতি এম শামসুল আলম। আপনি কি তাঁর সঙ্গে একমত?,3658,98,2,0
19 November 2022,"চালের দাম আর বাড়ার সম্ভাবনা নেই, খাদ্যসংকটেরও কোনো সম্ভাবনা নেই—খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদারের এ বক্তব্যে আপনি কি আস্থা রাখেন?",4446,10,89,1
18 November 2022,টুইটারের কর্মীদের চাকরিতে থাকতে হলে অতিরিক্ত কর্মঘণ্টা কাজ করার শর্ত দিয়েছিলেন নতুন মালিক ইলন মাস্ক। তবে এতে অধিকাংশ কর্মী রাজি হননি। এরপরই অবিলম্বে সব অফিস বন্ধের সিদ্ধান্ত জানায় টুইটার। টুইটারের এমন অস্থিরতা অন্যান্য সামাজিক যোগাযোগমাধ্যমেও ছড়িয়ে পড়তে পারে বলে আপনি মনে করেন কি?,2838,21,76,3
17 November 2022,বারবার দুর্ভিক্ষের কথা বললে আতঙ্ক তৈরি হয়ে একটি গোষ্ঠী সুযোগ নিতে পারে—গবেষণাপ্রতিষ্ঠান সানেমের নির্বাহী পরিচালক সেলিম রায়হানের এই বক্তব্য যৌক্তিক বলে আপনি কি মনে করেন?,4242,95,4,1
16 November 2022,দুর্নীতি দেশের উন্নয়ন ম্লান করে দিচ্ছে—পরিকল্পনা প্রতিমন্ত্রী শামসুল আলমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5529,99,1,0
15 November 2022,"ঢাকার সঙ্গে যুক্ত পাঁচ মহাসড়কে তিন চাকার যান (ইজিবাইক, সিএনজিচালিত অটোরিকশা, নছিমন, করিমন, ভটভটি) চলাচল বন্ধে কড়াকড়ি আরোপের সিদ্ধান্ত নিয়েছে সরকার। এটা সফল হবে বলে আপনি কি মনে করেন?",5033,13,86,1
14 November 2022,কাগজের অস্বাভাবিক মূল্যবৃদ্ধির প্রতিবাদ জানিয়ে অবিলম্বে এ বিষয়ে সরকারের হস্তক্ষেপ দাবি করেছে ছাত্র ইউনিয়ন। আপনি কি তা সমর্থন করেন?,5390,96,3,1
13 November 2022,দেশের সব অবৈধ ইটভাটার কার্যক্রম ও ইটভাটায় জ্বালানি হিসেবে কাঠের ব্যবহার বন্ধ নিশ্চিত করতে জেলা প্রশাসকদের সাত দিনের মধ্যে কার্যকর নির্দেশনা দিতে বলেছেন হাইকোর্ট। উচ্চ আদালতের এ নির্দেশ সংশ্লিষ্ট ব্যক্তিরা ঠিকমতো পালন করতে পারবেন বলে আপনি কি মনে করেন?,3057,3,96,1
12 November 2022,দেশে ডেঙ্গু চিকিৎসায় কোনো ঘাটতি হয়নি—স্বাস্থ্যমন্ত্রী জাহিদ মালেকের এই বক্তব্যের সঙ্গে আপনি কি একমত?,3903,6,93,1
11 November 2022,আইএমএফের ঋণ জনগণের জন্য বোঝা না হয়ে সংকট মোকাবিলায় সহায়ক হবে—আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5896,10,89,1
10 November 2022,স্থানীয় জনপ্রতিনিধিদের অনেকেই নিজেদের দায়িত্ব সম্পর্কে জানেন না—স্থানীয় সরকারমন্ত্রী মো. তাজুল ইসলামের এই বক্তব্যের সঙ্গে আপনি কি একমত?,4683,97,2,1
9 November 2022,সরকারি খরচে কর্মকর্তাদের সব ধরনের বিদেশ ভ্রমণ বন্ধ করা হয়েছে– অর্থনৈতিক সংকট কাটাতে এটা ভূমিকা রাখবে বলে আপনি কি মনে করেন?,5305,83,16,1
8 November 2022,বুয়েট শিক্ষার্থী ফারদিন নূর হত্যাকাণ্ডে জড়িত ব্যক্তিরা গ্রেপ্তার হবে বলে আপনি মনে করেন কি?,5362,17,81,2
7 November 2022,সরকারের পদত্যাগ নিশ্চিত না করে কেউ আর ঘরে ফিরবে না—বিএনপি নেতা–কর্মীরা মির্জা ফখরুল ইসলাম আলমগীরের এই কথা রাখবেন বলে আপনি কি মনে করেন?,31159,10,89,1
6 November 2022,পরীক্ষার্থীদের নির্বিঘ্নে পরীক্ষাকেন্দ্রে যাওয়ার সুযোগ করে দিতে অভিভাবকদের সেখানে ভিড় না করার আহ্বান জানিয়েছেন শিক্ষামন্ত্রী দীপু মনি। এতে পরীক্ষাকেন্দ্রের সামনে ভিড় কমবে বলে আপনি কি মনে করেন?,3071,13,85,2
5 November 2022,"যে গণতন্ত্রের জন্য মুক্তিযুদ্ধ হয়েছিল, সেটি এখন খুঁজে পাওয়া যায় না বলে মন্তব্য করেছেন সংবিধান প্রণয়ন কমিটির সদস্য অধ্যাপক আবু সাইয়িদ। আপনি কি তাঁর সঙ্গে একমত?",4592,89,11,0
4 November 2022,"ইভিএমের চেয়ে বড় সমস্যা নির্বাচন কমিশন নিয়ে। কারণ, কমিশনের ওপর মানুষের আস্থা নেই। তাই তাদের যদি ইভিএম দেওয়া হয়, তবে সেটি আরও বড় সংকটের দিকে ঠেলে দেবে—সুশাসনের জন্য নাগরিকের (সুজন) সম্পাদক বদিউল আলম মজুমদারের এ বক্তব্য যৌক্তিক বলে মনে করেন কি?",3977,88,11,1
3 November 2022,চকচকে করতে গিয়ে বছরে ১৬ থেকে ১৭ লাখ মেট্রিক টন চাল কমে যায় জানিয়ে পুষ্টিগুণসম্পন্ন চাল খেতে দেশবাসীর প্রতি আহ্বান জানিয়েছেন খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদার। তাঁর এই আহ্বানে লোকজন সাড়া দেবে বলে আপনি কি মনে করেন?,2566,22,76,2
2 November 2022,"ভারতের সঙ্গে হারলেও বাংলাদেশ দল যেমন খেলেছে, তাতে গর্ব করার মতো অনেক কিছু আছে—সাবেক অধিনায়ক গাজী আশরাফ হোসেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",4701,66,32,2
1 November 2022,বাজারে কোনো চাল প্রতি কেজি ৫০ টাকার নিচে না থাকলেও সরকার ৪২ টাকা কেজি দরে ৫ লাখ টন চাল কেনার ঘোষণা দিয়েছে। এতে চাল কেনার লক্ষ্য পূরণ হবে বলে কি আপনি মনে করেন?,3617,5,94,1
31 October 2022,সরকারি কর্ম কমিশন (পিএসসি) পরিচালিত কোনো পরীক্ষার প্রশ্নপত্র ফাঁসের অপরাধে সর্বোচ্চ ১০ বছরের কারাদণ্ডের বিধান রেখে নতুন আইন করছে সরকার। এতে প্রশ্নপত্র ফাঁস বন্ধ হবে বলে আপনি কি মনে করেন?,3374,10,89,1
30 October 2022,দেশের সব সরকারি প্রাথমিক বিদ্যালয়ে এক পালায় (শিফট) শিক্ষা কার্যক্রম পরিচালনার পরিকল্পনা করেছে সরকার। আপনি কি তা সমর্থন করেন?,3187,84,13,3
29 October 2022,"সরকার জঙ্গিবাদ ও অগ্নিসন্ত্রাসের নামে নতুন রাজনৈতিক খেলা শুরু করতে চাইছে, কিন্তু ওই অস্ত্র দিয়ে আর কাজ হবে না—বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের এ বক্তব্যের সঙ্গে আপনি কি একমত?",5557,70,28,2
28 October 2022,২৯ সরকারি প্রতিষ্ঠানকে গুরুত্বপূর্ণ তথ্য পরিকাঠামোর আওতায় আনা হলেও এসব প্রতিষ্ঠান থেকে সাংবাদিকদের তথ্য পাওয়ার ক্ষেত্রে বাধার সৃষ্টি হবে না বলে জানিয়েছেন তথ্য ও যোগাযোগপ্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহ্‌মেদ। তাঁর এ বক্তব্যে আপনার আস্থা আছে কি?,11972,70,29,1
27 October 2022,"অর্থনৈতিক সংকট প্রশমনে কী করা উচিত, কত দিনে সংকটের সমাধান করা যাবে, তার একটি রূপরেখা থাকা উচিত—অর্থনীতিবিদ আহসান এইচ মনসুরের এই বক্তব্যের সঙ্গে আপনি কি একমত?",3387,97,2,1
26 October 2022,"দলটাকে বাঁচান, টাকাপয়সার লেনদেন বন্ধ করেন—দলের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই আহ্বানে আওয়ামী লীগ নেতারা সাড়া দেবেন বলে আপনি কি মনে করেন?",12776,60,39,1
25 October 2022,বিদ্যুৎ নিয়ে এত শঙ্কিত হওয়ার কিছু নেই—প্রতিমন্ত্রী নসরুল হামিদের এ কথার ওপর আপনি কি আস্থা রাখেন?,23003,76,24,0
24 October 2022,"প্রতিবছর ঘূর্ণিঝড় হবে, এটি ধরে নিয়েই আমাদের প্রস্তুতি নিতে হবে—আবহাওয়া অধিদপ্তরের সাবেক পরিচালক সমরেন্দ্র কর্মকারের এই বক্তব্যের সঙ্গে আপনি কি একমত?",5407,96,3,1
23 October 2022,"দেশের কৃষি ও শিল্প খাতের সুরক্ষায় যা যা দরকার, সরকার করবে। এ জন্য প্রয়োজনে দিনের বেলায় বিদ্যুতের ব্যবহার বন্ধ রাখার পরামর্শ দিয়েছেন প্রধানমন্ত্রীর জ্বালানিবিষয়ক উপদেষ্টা তৌফিক-ই-ইলাহী চৌধুরী। তাঁর এ পরামর্শে বিদ্যুৎ নিয়ে দেশবাসীর ভোগান্তি আরও বাড়বে বলে আপনি কি মনে করেন?",5031,94,5,1
21 October 2022,সরকার সবকিছুর দায় রাশিয়া-ইউক্রেন যুদ্ধ ও করোনার ওপর চাপিয়ে পার পেতে চাইছে—বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,10178,68,31,1
20 October 2022,রাজনৈতিক কর্মসূচি ঘিরে অতি উৎসাহী না হয়ে পেশাদারির সঙ্গে পুলিশ কর্মকর্তাদের দায়িত্ব পালনের নির্দেশ দিয়েছেন ডিএমপি কমিশনার মোহা. শফিকুল ইসলাম। পুলিশ কর্মকর্তারা তা করবেন বলে আপনি কি মনে করেন?,3666,4,95,1
19 October 2022,এনআইডি সেবা নির্বাচন কমিশনের কাছ থেকে স্বরাষ্ট্র মন্ত্রণালয়ে নিয়ে গেলে লোকজন আর ভোটার হতে চাইবে না—সাবেক সিইসি কাজী রকিবউদ্দীন আহমদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,4568,89,8,3
18 October 2022,"নির্বাচন কমিশনার মো. আলমগীর বলেছেন, গাইবান্ধা-৫ আসনের উপনির্বাচনে যেসব কর্মকর্তা অনিয়মে জড়িত ছিলেন, তাঁদের সবার বিরুদ্ধে শাস্তিমূলক ব্যবস্থা নেওয়া হবে। সবার শাস্তি হবে বলে আপনি কি মনে করেন?",4645,13,86,1
17 October 2022,"সরকার যে কাজই করুক, বিচার-বিবেচনা না করে বিএনপি অন্ধ সমালোচনা শুরু করে—ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?",7389,42,56,2
16 October 2022,"লুটপাট, মাস্তানি দেশের উন্নয়ন আকাঙ্ক্ষাকে খারাপ দিকে নিয়ে যেতে পারে—অর্থনীতিবিদ ওয়াহিদউদ্দিন মাহমুদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",5842,99,1,0
15 October 2022,"বাংলাদেশের ৬৮ শতাংশ মানুষ প্রয়োজনীয় খাদ্য কিনতে হিমশিম খাচ্ছে—ডব্লিউএফপির এই তথ্য স্বীকার করে সরকারের দ্রুত দরিদ্রদের পাশে দাঁড়ানো উচিত বলে মন্তব্য করেছেন ইউএনডিপি, বাংলাদেশের প্রধান অর্থনীতিবিদ ড. নাজনীন আহমেদ। আপনি কি তাঁর সঙ্গে একমত?",7939,96,4,0
14 October 2022,ডেঙ্গুতে আক্রান্ত হয়ে এক দিনে হাসপাতালে আরও ৩১০ জন ভর্তি হয়েছেন। এ নিয়ে গত দুই সপ্তাহে ডেঙ্গুতে আক্রান্ত হয়ে হাসপাতালে ভর্তি হলেন ৭ হাজার ৫০০ জন। পরিস্থিতি মোকাবিলায় যথেষ্ট পদক্ষেপ নেওয়া হচ্ছে বলে আপনি কি মনে করেন?,4044,3,96,1
13 October 2022,"নির্বাচন কমিশনের নির্দেশনার পরেও গাইবান্ধার উপনির্বাচনে যেসব প্রিসাইডিং কর্মকর্তা ভোটকক্ষের শৃঙ্খলা ফেরাতে পদক্ষেপ নেননি, তাঁদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে আপনি কি মনে করেন?",3973,4,95,1
12 October 2022,সবাই আইনের প্রতি শ্রদ্ধাশীল না হলে নির্বাচন কমিশন এখানে বসে সুন্দর নির্বাচন উপহার দিতে পারবে না—সিইসি কাজী হাবিবুল আউয়ালের এই বক্তব্যের সঙ্গে আপনি কি একমত?,4165,96,3,1
11 October 2022,"কৃষিমন্ত্রী মো. আব্দুর রাজ্জাক বলেছেন, দেশে কোনো খাদ্যসংকট হবে না, হাহাকার হবে না, দুর্ভিক্ষ হবে না। দেশে ক্রমবর্ধমান মূল্যস্ফীতি ও জ্বালানি ছাড়াও নিত্যপ্রয়োজনীয় পণ্যের অব্যাহত মূল্যবৃদ্ধির প্রেক্ষাপটে তাঁর এ বক্তব্যে আপনার আস্থা আছে কি?",5227,6,93,1
10 October 2022,"জাতীয় সংসদ নির্বাচন সামনে রেখে বাংলাদেশে বিরোধী দলের সদস্যদের বাড়িতে পুলিশের অভিযান সহিংসতা আর ভীতির পরিবেশ তৈরি করছে, মানবাধিকার সংস্থা হিউম্যান রাইটস ওয়াচের (এইচআরডব্লিউ) এই বক্তব্যের সঙ্গে আপনি কি একমত?",6383,79,20,1
8 October 2022,"সিইসি কাজী হাবিবুল আউয়াল বলেছেন, নির্বাচনের মাঠে জেলা প্রশাসক (ডিসি) ও পুলিশ সুপারদের (এসপি) দলীয় কর্মী হিসেবে নয়, সরকারি কর্মচারী হিসেবে দায়িত্ব পালন করতে হবে। তাঁর এই নির্দেশনায় কাজ হবে বলে আপনি কি মনে করেন?",7259,3,96,1
7 October 2022,ইরানে পুলিশি হেফাজতে কুর্দি তরুণী মাসা আমিনির মৃত্যু কোনো হাতাহাতি বা মারধরের কারণে হয়নি। তাঁর মৃত্যু হয়েছে অসুস্থতার কারণে। মাসার মৃত্যুর তিন সপ্তাহ পর শুক্রবার দেশটির ফরেনসিক মেডিসিন অর্গানাইজেশন এ তথ্য জানায়। এই তথ্য দেশটিতে চলমান সহিংস বিক্ষোভ প্রশমনে ভূমিকা রাখবে বলে আপনি মনে করেন কি?,3734,25,70,5
6 October 2022,সরকারের প্রতি জ্বালানি তেলে শুল্ক-করে ছাড় ও মুনাফা না করার দাবি জানিয়েছে তৈরি পোশাক খাতের ব্যবসায়ীদের সংগঠন বিজিএমই। আপনি কি তা সমর্থন করেন?,2145,88,11,1
5 October 2022,"বিদ্যুতের দাম বাড়ানো হলে বর্তমানের উচ্চ মূল্যস্ফীতিকে আরও উসকে দেবে, তাতে স্বল্প আয়ের মানুষের টিকে থাকা কঠিন হয়ে পড়বে—বিশ্বব্যাংকের ঢাকা কার্যালয়ের সাবেক মুখ্য অর্থনীতিবিদ জাহিদ হোসেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",5187,98,2,0
4 October 2022,রাজধানীর ইডেন কলেজে ‘ভয়াবহ পরিস্থিতির’ সত্য-মিথ্যা বের করতে বিচার বিভাগীয় তদন্তের দাবি জানিয়েছেন ২১ জন নারী অধিকারকর্মী। আপনি কি তা সমর্থন করেন?,4516,96,3,1
3 October 2022,"এখন এত বছর পর কার বিরুদ্ধে কী ব্যবস্থা নেওয়া হবে, এটা একটা জটিল বিষয়—ডেমু ট্রেন কিনে ৬০০ কোটি টাকা গচ্চা দেওয়ার জন্য দায়ীদের বিরুদ্ধে ব্যবস্থা প্রসঙ্গে রেলমন্ত্রী নূরুল ইসলামের এই বক্তব্য যৌক্তিক বলে আপনি কি মনে করেন?",5765,3,97,0
1 October 2022,"ভোজ্যতেলের দাম বাড়ায় ভ্যাটে ছাড় দিয়েছিল সরকার, এখন তা তুলে নেওয়া হয়েছে। সরকারের এই সিদ্ধান্ত ঠিক হয়েছে বলে আপনি কি মনে করেন?",3906,11,88,1
30 September 2022,গণভোটের পর ইউক্রেনের চার অঞ্চলকে রাশিয়া ফেডারেশনের সঙ্গে যুক্ত করার আনুষ্ঠানিক ঘোষণা দিয়েছেন রুশ প্রেসিডেন্ট ভ্লাদিমির পুতিন। তাৎক্ষণিক জবাবে যুক্তরাষ্ট্র ও যুক্তরাজ্য মস্কোর বিরুদ্ধে নতুন নিষেধাজ্ঞা আরোপ করেছে। দুই পক্ষের এমন পদক্ষেপে বিশ্বজুড়ে অর্থনীতিতে চাপ ও অস্থিরতা আরও বাড়বে বলে আপনি মনে করেন কি?,4234,95,4,1
29 September 2022,বর্তমান পুলিশ আগের চেয়ে অনেক বেশি গণমুখী—বিদায়ী আইজিপি বেনজীর আহমেদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,8305,9,90,1
28 September 2022,বিএনপি ইচ্ছা করেই সংঘাতে জড়ানোর জন্য আওয়ামী লীগ ও পুলিশকে উসকানি দিচ্ছে– আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,8747,16,83,1
27 September 2022,"ছাত্রদলের নেতাদের ওপর ছাত্রলীগের হামলা তদন্তে কমিটি করার কথা জানিয়ে ঢাকা বিশ্ববিদ্যালয়ের উপাচার্য মো. আখতারুজ্জামান বলেছেন, ‘কোথায় কী, তা আমরা এখনো জানি না।’ এ কথা বলে উপাচার্য দায়িত্ব এড়াতে পারেন বলে আপনি মনে করেন কি?",7448,4,95,1
26 September 2022,দেশে নৌ দুর্ঘটনায় প্রাণহানির পেছনে সরকারের নজরদারির ঘাটতি একটি বড় কারণ—বুয়েটের অ্যাকসিডেন্ট রিসার্চ ইনস্টিটিউটের সহকারী অধ্যাপক মো. ইমরান উদ্দিনের এ বক্তব্যের সঙ্গে আপনি কি একমত?,4704,93,6,1
25 September 2022,"ইউএনওরা নদী রক্ষায় যতটা না আগ্রহী, তার চেয়ে নদীর জমি ব্যক্তির নামে দিতে বেশি আগ্রহী—জাতীয় নদী রক্ষা কমিশনের চেয়ারম্যান মনজুর আহমেদ চৌধুরীর এই বক্তব্যের সঙ্গে আপনি একমত?",4734,95,4,1
24 September 2022,"বিএনপির সাম্প্রতিক কর্মসূচিগুলোতে জমায়েত বাড়ার কথা উল্লেখ করে দলটির সংসদ সদস্য রুমিন ফারহানা বলেছেন, বিএনপি প্রতিনিয়ত শক্তিশালী হচ্ছে। আপনি কি তাঁর এ বক্তব্যের সঙ্গে একমত?",6495,77,21,2
23 September 2022,"ছুটিতে থেকেও ওয়াসার এমডি তাকসিম এ খান জাপানে শিক্ষাসফরে যাবেন বলে সরকারি আদেশ হয়েছে। এ বিষয়ে ঢাকা ওয়াসার উপপ্রধান জনতথ্য কর্মকর্তা এ এম মোস্তফা তারেক বলেন, সরকারি নিয়মনীতি মেনেই সবকিছু করা হয়েছে, নিয়মের কোনো ব্যত্যয় হয়নি—আপনিও কি তা–ই মনে করেন?",6390,3,96,1
22 September 2022,কুড়িগ্রামে এসএসসি পরীক্ষার প্রশ্নপত্র ফাঁসের ঘটনায় কেন্দ্রসচিব ছাড়াও দায়িত্বে থাকা অন্যদের অবহেলা রয়েছে—ঢাকা শিক্ষা বোর্ডের সাবেক চেয়ারম্যান অধ্যাপক তাসলিমা বেগমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,4048,97,2,1
21 September 2022,পুরুষ ও নারী খেলোয়াড়দের বেতনবৈষম্য দূর করার দাবি উঠেছে। আপনি কি তা সমর্থন করেন?,5440,79,19,2
20 September 2022,গুমের অভিযোগ পেলে যথাযথ তদন্ত সাপেক্ষে ভুক্তভোগীকে উদ্ধারে সরকার বদ্ধপরিকর—জাতিসংঘ মানবাধিকার পরিষদে দেওয়া সরকারের এ বক্তব্যে আপনি কি আস্থাশীল?,4351,8,91,1
19 September 2022,বন্ধের চার মাসের মাথায় সরকারি কর্মচারীদের দক্ষতা বৃদ্ধির জন্য সীমিত আকারে বিদেশ ভ্রমণের সুযোগ দিয়েছে সরকার—এখন এই শর্ত শিথিলের সময় হয়েছে বলে আপনি কি মনে করেন?,4974,6,93,1
18 September 2022,"কৃষিমন্ত্রী মো. আব্দুর রাজ্জাক বলেছেন, ডিমের দাম বেড়েছে, তবে এটি সাময়িক। শিগগিরই দাম কমে আসবে। দাম কমবে বলে আপনি কি মনে করেন?",5493,10,89,1
17 September 2022,"রাজধানীর পাইকপাড়ায় রাস্তা ও ফুটপাতে গণপূর্তের নির্মাণকাজের রড, সিমেন্ট ও অন্যান্য সামগ্রী পড়ে থাকতে দেখে সেগুলো নিলামে বিক্রি করেছে ঢাকা উত্তর সিটি করপোরেশন। এ ধরনের পদক্ষেপ নিলে সরকারি প্রতিষ্ঠানগুলোর গাফিলতি কমবে বলে কি আপনি মনে করেন?",3934,90,9,1
16 September 2022,"বিশ্ব স্বাস্থ্য সংস্থা বলছে, বাংলাদেশে করোনার সংক্রমণ বাড়ছে। সংস্থার পরিসংখ্যান অনুযায়ী এক সপ্তাহের ব্যবধানে সংক্রমণ ৪৭ শতাংশ বেড়েছে। এ অবস্থায় করোনাকালীন স্বাস্থ্যবিধি অনুসরণের ওপর নতুন করে জোর দেওয়া উচিত বলে আপনি মনে করেন কি?",3438,76,22,2
