SN,News Paper Name,Date,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
181,Prothomalo,13 January 2023,মূল্যবৃদ্ধির মধ্য দিয়ে নিরবচ্ছিন্ন বিদ্যুৎ পাওয়ার নিশ্চয়তা নেই। দেশে সামগ্রিকভাবে বিদ্যুৎ উৎপাদন বাড়ালেও বিদ্যুৎ খাতের দক্ষতা বাড়েনি। বিদ্যুতের মূল্যবৃদ্ধি প্রসঙ্গে সিপিডির গবেষণা পরিচালক খন্দকার গোলাম মোয়াজ্জেম এমন মন্তব্য করেন। আপনি কি এর সঙ্গে একমত?,,98,2,0
182,Prothomalo,12 January 2023,পাবলিক বিশ্ববিদ্যালয়গুলোতে শিক্ষক এবং কর্মকর্তা-কর্মচারী নিয়োগে অনিয়ম দূর করতে পিএসসির আদলে একটি স্বতন্ত্র কমিশন গঠনের সুপারিশ করেছে ইউজিসি। আপনি কি তা সমর্থন করেন?,,91,7,2
183,Prothomalo,11 January 2023,সংঘাত এড়িয়ে অহিংস কর্মসূচির মাধ্যমে সরকার পতনের আন্দোলন চালিয়ে যাওয়ার লক্ষ্য নিয়েছে বিএনপি। এই পথে দলটি সফল হবে বলে আপনি মনে করেন কি?,,8,91,1
184,Prothomalo,10 January 2023,"অর্থমন্ত্রী আ হ ম মুস্তফা কামাল বলেছেন, অর্থ পাচার রোধ এবং পাচার করা অর্থ বাংলাদেশে ফেরত আনার বিষয়ে সরকারের সব সংস্থা একযোগে কাজ করে যাচ্ছে। পাচার করা অর্থ দেশে ফেরত আসবে বলে আপনি কি মনে করেন?",,79,21,0
185,Prothomalo,9 January 2023,"নির্বাচনে প্রার্থী হতে কেউ যাতে বাধার সম্মুখীন না হন, সে জন্য অনলাইনে মনোনয়নপত্র জমার বিধান করতে চায় নির্বাচন কমিশন। এটা সুফল আনবে বলে আপনি কি মনে করেন?",,84,13,3
186,Prothomalo,8 January 2023,সরকারের সদিচ্ছা থাকলে বিদেশে পাচার হওয়া অর্থের মধ্যে ১০-২০ হাজার কোটি টাকা ফেরত আনা সম্ভব—গবেষণা প্রতিষ্ঠান পলিসি রিসার্চ ইনস্টিটিউটের নির্বাহী পরিচালক আহসান এইচ মনসুরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,,94,5,1
187,Prothomalo,7 January 2023,"বিদ্যুতের দাম বাড়ানোর প্রস্তাব দিয়ে বিতরণ কোম্পানিগুলো বলেছে, গ্রাহক বিদ্যুতের ব্যবহারে সাশ্রয়ী হলে তাঁদের মাসের খরচ বাড়বে না। এই বক্তব্য যৌক্তিক বলে আপনি কি মনে করেন?",,3,96,1
188,Prothomalo,6 January 2023,রমজানে নিত্যপণ্যের দাম বাড়বে না বলে আশ্বাস দিয়েছেন বাণিজ্যমন্ত্রী টিপু মুনশি। মন্ত্রীর এ আশ্বাসের পরও বাজার নিয়ন্ত্রণে থাকবে বলে মনে করেন কি?,,2,97,1
189,Prothomalo,5 January 2023,"পুলিশের মহাপরিদর্শক চৌধুরী আবদুল্লাহ আল-মামুন বলেছেন, থানা হবে জনগণের সেবা পাওয়ার ভরসাস্থল। পুলিশ সদস্যরা সেভাবে কাজ করবেন বলে আপনি কি আশাবাদী?",,4,95,1
190,Prothomalo,4 January 2023,"বিদেশিদের জ্ঞান খুবই সীমিত, বাংলাদেশ সম্পর্কে সবচেয়ে ভালো জ্ঞান রাখেন বাঙালিরা—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",,30,69,1
191,Prothomalo,3 January 2023,নির্বাচনে কোনো ধরনের অনিয়মকে একেবারেই প্রশ্রয় দেবে না নির্বাচন কমিশন (ইসি)—নির্বাচন কমিশনার মো. আহসান হাবিব খানের এ বক্তব্যের সঙ্গে আপনি কি একমত?,,17,82,1
192,Prothomalo,2 January 2023,"গণপরিবহনব্যবস্থা হয়ে উঠছে মোটরসাইকেল ও সিএনজিচালিত অটোরিকশানির্ভর, তাতে বেপরোয়াভাবে বাড়ছে সড়ক দুর্ঘটনা—যাত্রী কল্যাণ সমিতির এই বক্তব্যের সঙ্গে আপনি কি একমত?",,78,21,1
193,Prothomalo,1 January 2023,দলীয় সরকারের অধীনে সুষ্ঠু নির্বাচন করা যায় বলে মনে করেন নির্বাচন কমিশনার আনিছুর রহমান। আপনি কি তা মনে করেন?,,8,91,1
