 ,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
26 January 2022,দেশে ব্যবসা করতে গিয়ে দুর্নীতিকেই প্রধান বাধা দেখছেন ব্যবসায়ীরা—সেন্টার ফর পলিসি ডায়ালগের (সিপিডি) জরিপ মতামত আপনি সমর্থন করেন কি?,3670,98,2,0
25 January 2022,"মানুষের সঙ্গে প্রতারণার দায়ে অভিযুক্ত কোন ই-কমার্স প্রতিষ্ঠানের কাছে কত গ্রাহকের কত টাকা আটকে আছে, তা এখন পর্যন্ত বের করতে পারেনি সরকার। এর মধ্যে পেরিয়ে গেছে পাঁচ মাস। এই টাকা শিগগিরই গ্রাহকেরা ফেরত পাবেন বলে মনে করেন কি?",1120,2,67,1
24 January 2022,নির্বাচন কমিশন আইন নিয়ে সরকারের উদ্দেশ্য ভালো নয়। আগামী সংসদ নির্বাচনে জয়ের জন্য পছন্দের ইসি নিয়োগ করতে চায় সরকার।—গত রোববার সুশাসনের জন্য নাগরিকের (সুজন) সংবাদ সম্মেলনে উঠে আসা এ বক্তব্য যৌক্তিক বলে মনে করেন কি?,5270,94,5,1
23 January 2022,ভূমিহীনদের জন্য সরকারের নেওয়া গুচ্ছগ্রাম প্রকল্পের টাকা আত্মসাৎ করার অভিযোগ প্রমাণিত হওয়ায় গাইবান্ধা সদর উপজেলার সাবেক ইউএনও শফিকুর রহমানের এক ধাপ পদাবনতি হয়েছে। একই সঙ্গে তাঁকে আত্মসাৎকৃত পুরো টাকা নিজের বেতন-ভাতা থেকে পরিশোধ করার নির্দেশ দেওয়া হয়েছে—এই শাস্তিকে যথেষ্ট বলে মনে করছেন কি?,5895,7,92,1
22 January 2022,"করোনাভাইরাসের সংক্রমণ নিয়ন্ত্রণে সামাজিক, রাজনৈতিক, ধর্মীয় ও রাষ্ট্রীয় অনুষ্ঠানে ১০০ জনের বেশি সমাগম করা যাবে না। যারা আসবে তাদের অবশ্যই টিকার সনদ বা ২৪ ঘণ্টার মধ্যে পিসিআর সনদ আনতে হবে। সরকার এই সনদের বিষয়টি নিশ্চিত করতে পারবে বলে মনে করেন কি?",3725,3,96,1
21 January 2022,জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের (জাবি) ছাত্রীদের নিয়ে আপত্তিকর মন্তব্যের জন্য শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়ের উপাচার্য ফরিদ উদ্দিন আহমেদকে নিঃশর্ত ক্ষমা চাওয়ার আহ্বান জানিয়েছেন জাবির প্রাক্তন ও বর্তমান পাঁচ শতাধিক ছাত্রী। এ আহ্বানে উপাচার্য সাড়া দেবেন বলে আপনি মনে করেন কি?,3790,6,92,2
19 January 2022,"পুলিশ, আনসার ও সেনাসদস্যদের মতো প্রশাসন ক্যাডারের কর্মকর্তাদেরও জাতিসংঘ শান্তিরক্ষা মিশনে পাঠানোর প্রস্তাব এসেছে—এই প্রস্তাব যুক্তিসংগত বলে আপনি মনে করেন?",9543,60,39,1
18 January 2022,সংশ্লিষ্ট অংশীজন ও নাগরিক সমাজের মতামত এবং যাচাই-বাছাই ছাড়া নির্বাচন কমিশন আইন পাস করা হলে এর গ্রহণযোগ্যতা প্রশ্নবিদ্ধ হবে—টিআইবির এই বক্তব্যের সঙ্গে আপনি কি একমত?,4231,95,4,1
17 January 2022,নির্বাচন কমিশন গঠনের বিষয়ে আইনের খসড়ার চূড়ান্ত অনুমোদন দিয়েছে মন্ত্রিসভা—এই আইন করেই এবার নির্বাচন কমিশন গঠন করা হবে বলে কি আপনি মনে করেন?,2386,14,14,5
16 January 2022,নির্বাচন এলেই গায়েবি মামলার হিড়িক পড়ে যায়—নির্বাচন কমিশনার মাহবুব তালুকদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?,6484,96,3,1
15 January 2022,করোনা নিয়ন্ত্রণে সরকারের দেওয়া বিধিনিষেধ না মানলে পরিস্থিতি ভয়াবহ হবে বলে হুঁশিয়ার করেছেন স্বাস্থ্যমন্ত্রী জাহিদ মালেক। এরপর স্বাস্থ্যবিধি মেনে চলায় অগ্রগতি হবে বলে আপনি মনে করেন?,5385,7,92,1
14 January 2022,বাংলাদেশে গুরুতর মানবাধিকার লঙ্ঘনের বিষয় সরকার আমলে নিচ্ছে না বলে হিউম্যান রাইটস ওয়াচের (এইচআরডব্লিউ) প্রতিবেদন একপেশে ও মিথ্যায় ভরপুর—আইনমন্ত্রী আনিসুল হকের এই বক্তব্যের সঙ্গে আপনি কি একমত?,4142,9,90,1
13 January 2022,আগামী শনিবার থেকে অর্ধেক আসন ফাঁকা রাখার পরিবর্তে ‘যত সিট তত যাত্রী’ নিয়ে বাস চালানোর ঘোষণা দিয়েছে বাস মালিক সমিতি। সমিতির এই ঘোষণা সরকারের মেনে নেওয়া ঠিক হবে কি?,5449,76,22,2
12 January 2022,গণপরিবহন সংকট এড়াতে বাসে যত আসন তত যাত্রী পরিবহনের অনুমতি দেওয়ার দাবি জানিয়েছেন মালিকেরা—তাঁদের এই দাবির সঙ্গে আপনি কি একমত?,4192,82,17,1
11 January 2022,"নির্বাচন করোনা সংক্রমণে কোনো প্রভাব ফেলবে না—নির্বাচন কমিশনার শাহাদাত হোসেন চৌধুরীর এই বক্তব্য যৌক্তিক বলে মনে করেন কি?",4629,6,93,1
10 January 2022,করোনা থেকে সুরক্ষায় অর্ধেক যাত্রী নিয়ে গণপরিবহন চালানোর নির্দেশনা দিয়েছে সরকার। এই সিদ্ধান্তের সঙ্গে আপনি কি একমত?,7449,21,78,1
9 January 2022,"দেশে প্রতিদিনই করোনার সংক্রমণে মৃত্যু, শনাক্ত ও শনাক্তের হার বাড়ছে। এই সংক্রমণ ঠেকাতে সরকারের এখন কঠোর পদক্ষেপে যাওয়া উচিত বলে মনে করেন কি?",4813,74,24,2
8 January 2022,"দেশে প্রতিদিনই করোনার সংক্রমণে মৃত্যু, শনাক্ত ও শনাক্তের হার বাড়ছে। এই সংক্রমণ ঠেকাতে সরকারের এখন কঠোর পদক্ষেপে যাওয়া উচিত বলে মনে করেন কি?",3836,5,93,2
7 January 2022,ইউনিয়ন পরিষদ নির্বাচনে বেশির ভাগ জায়গায় নৌকার প্রার্থীদের পরাজয়ে আশা দেখছেন বিএনপির নেতা মেজর (অব.) হাফিজ উদ্দিন আহমদ। তাঁর এই আশাবাদ যৌক্তিক বলে মনে করেন কি?,3719,76,22,2
6 January 2022,"সুশাসনের জন্য নাগরিকের (সুজন) সম্পাদক বদিউল আলম মজুমদার বলেছেন, ইউনিয়ন পরিষদ (ইউপি) নির্বাচনে শাসক দলের প্রতীক পেলে নির্বাচিত হওয়া প্রায় নিশ্চিত—এমন মন্তব্যের সঙ্গে আপনি কি একমত?",3683,85,14,1
5 January 2022,ঢাকা বিশ্ববিদ্যালয়ে ভর্তিতে আসনসংখ্যা অন্তত ১ হাজার কমানোর উদ্যোগ নেওয়া হয়েছে—আপনি কি তা সমর্থন করেন?,4859,42,56,2
4 January 2022,ব্যর্থতার দায় না নিলেও বাংলাদেশ দল ভালো খেললে কৃতিত্ব নেন কর্তাব্যক্তিরা—জাতীয় দলের সাবেক অধিনায়ক খালেদ মাসুদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,8164,99,1,0
3 January 2022,"যাঁরা করোনার টিকা দেননি, তাঁদের রেস্টুরেন্টে বসে খাওয়া নিষিদ্ধ করা হচ্ছে—সংক্রমণ ঠেকাতে এই সিদ্ধান্ত ফলপ্রসূ হবে বলে আপনি মনে করেন?",5109,26,72,2
2 January 2022,বিএনপি রাষ্ট্রপতির সংলাপে এলে তাদের জন্য ভালো হবে—আইনমন্ত্রী আনিসুল হকের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5821,10,89,1
1 January 2022,নির্বাচন কমিশন গঠনের জন্য সংলাপের মাধ্যমে সার্চ কমিটি গঠন করা হলেও তাতে কোনো লাভ হবে না।—তত্ত্বাবধায়ক সরকারের সাবেক উপদেষ্টা আকবর আলি খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,6107,96,3,1
31 December 2021,"শুধু সাংবাদিক নয়, সাধারণ নাগরিকদের ডিজিটাল নিরাপত্তা আইনের মামলায় তাৎক্ষণিকভাবে গ্রেপ্তার না করার দাবি জানিয়েছে টিআইবি। আপনি কি তাদের এই দাবির সঙ্গে একমত?",3725,96,3,1
30 December 2021,ভাড়াভিত্তিক বিদ্যুৎকেন্দ্রের মেয়াদ বৃদ্ধির সিদ্ধান্তের সঙ্গে আপনি কি একমত?,4289,5,94,1
29 December 2021,অর্থনৈতিকভাবে দেশের সবাই ভালো আছেন—অর্থমন্ত্রী আ হ ম মুস্তফা কামালের এ বক্তব্যের সঙ্গে আপনি কি একমত?,5820,3,96,1
28 December 2021,নির্বাচন কমিশন গঠনে আস্থাহীনতা দূর করতে হলে আইন করতেই হবে—ওয়ার্কার্স পার্টির এই বক্তব্যের সঙ্গে আপনি কি একমত?,16,94,6,0
27 December 2021,"ইউপি নির্বাচনে আওয়ামী লীগ ও এর বিদ্রোহী প্রার্থীদের জয়ে প্রমাণিত, দলের জনপ্রিয়তা বেড়েছে—তথ্যমন্ত্রী হাছান মাহমুদের এ বক্তব্যের সঙ্গে আপনি কি একমত?",8745,4,95,1
26 December 2021,প্রাথমিকভাবে ৫০টি বাস নিয়ে ঢাকায় একক ব্যবস্থাপনায় নগর পরিবহন চালু হয়েছে—এতে রাজধানীতে গণপরিবহনে নৈরাজ্য কমবে বলে আপনি কি মনে করেন?,6985,15,83,2
25 December 2021,জনগণের জানমালের নিরাপত্তা নিশ্চিতে সরকার প্রতিটি ক্ষেত্রে ব্যর্থতার পরিচয় দিচ্ছে—গণসংহতি আন্দোলনের এই বক্তব্যের সঙ্গে আপনি কি একমত?,3605,93,6,1
24 December 2021,লঞ্চে আগুনে প্রাণহানির জন্য কর্তৃপক্ষের তদারকির অভাবকে দায়ী করেছেন নাগরিক ঐক্যের সভাপতি মাহমুদুর রহমান মান্না। আপনি কি তাঁর সঙ্গে একমত?,3814,95,4,1
23 December 2021,চলমান ইউনিয়ন পরিষদ নির্বাচনে আচরণবিধি লঙ্ঘনকারীদের বিরুদ্ধে নির্বাচন কমিশন যথাযথ ব্যবস্থা নিচ্ছে বলে মনে করেন কি?,3010,3,96,1
22 December 2021,"শিক্ষা খাতে ঘন ঘন পরিবর্তনের সমালোচনা করে অর্থনীতিবিদ কাজী খলীকুজ্জমান আহমদ বলেছেন, শিক্ষা নিয়ে এত পরীক্ষা-নিরীক্ষার প্রয়োজন নেই। আপনি কি তাঁর এই বক্তব্যের সঙ্গে একমত?",4097,93,6,1
21 December 2021,জামায়াত-বিএনপির পরিকল্পনায় আওয়ামী লীগে অনুপ্রবেশ ঘটছে—যুবলীগ চেয়ারম্যান শেখ ফজলে শামস্ পরশের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5729,16,82,2
20 December 2021,গ্রহণযোগ্য নির্বাচন কমিশন গঠনে অবিলম্বে আইন প্রণয়নের দাবি জানিয়েছে টিআইবি—আপনি কি এই দাবির সঙ্গে একমত?,4321,95,4,1
19 December 2021,"গাড়ির ধাক্কায় পা হারানো মনোরঞ্জন হাজং ও তাঁর মেয়ে সার্জেট মহুয়া হাজংয়ের সঙ্গে যে ঘটনা ঘটেছে, তা সীমাহীন অবিচারের একটি বড় নমুনা—অধ্যাপক রোবায়েত ফেরদৌসের এই বক্তব্যের সঙ্গে আপনি কি একমত?",5074,97,2,1
18 December 2021,নির্বাচন কমিশন গঠন নিয়ে রাষ্ট্রপতির সংলাপে সুষ্ঠু নির্বাচনের ক্ষেত্রে কোনো সুফল আসবে না—বাংলাদেশ জাসদের সভাপতি শরীফ নুরুল আম্বিয়ার এ বক্তব্যের সঙ্গে আপনি কি একমত?,4640,95,4,1
17 December 2021,ঢাকা বিশ্ববিদ্যালয়ে বিবাহিত ছাত্রীদের আবাসিক হলের সিট বাতিল করার নিয়ম যৌক্তিক বলে মনে করেন কি?,5231,17,82,1
16 December 2021,চলমান ইউপি নির্বাচনে সহিংসতা রোধে নির্বাচন কমিশন বিশেষ ব্যবস্থা নেবে বলে মনে করেন কি?,3343,3,96,1
15 December 2021,পরীক্ষা বাদ দিয়ে এখন থেকে সব সময় লটারির মাধ্যমে স্কুলে শিক্ষার্থী ভর্তির সিদ্ধান্ত নিয়েছে শিক্ষা মন্ত্রণালয়—আপনি কি তা সমর্থন করেন?,4736,32,67,1
14 December 2021,কৃত্রিম সংকট তৈরি করে বেশি দামে সার বিক্রি করলে তাৎক্ষণিকভাবে শাস্তি দেওয়ার সিদ্ধান্ত নিয়েছে সরকার—এর মাধ্যমে সারের দাম নিয়ন্ত্রণে রাখা যাবে বলে আপনি মনে করেন?,3097,14,85,1
13 December 2021,সরকার কোনো ধরনের প্রশ্নের মুখে পড়লেই বিএনপি-জামায়াতের ওপর দোষ চাপিয়ে পার পাওয়ার চেষ্টা করে—বিএনপি নেতা আমীর খসরু মাহমুদ চৌধুরীর এই বক্তব্যের সঙ্গে আপনি কি একমত?,7376,94,5,1
12 December 2021,ডিজিটাল বাংলাদেশ প্রতিষ্ঠায় অঙ্গীকারের চেয়ে অর্জন বেশি—তথ্য ও যোগাযোগ প্রতিমন্ত্রী জুনাইদ আহ্‌মেদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,7347,6,93,1
11 December 2021,যুক্তরাষ্ট্রের নিষেধাজ্ঞা উদ্দেশ্যপ্রণোদিত ও একপেশে—তথ্যমন্ত্রী হাছান মাহমুদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,10274,9,90,1
10 December 2021,জাতীয় মানবাধিকার কমিশন একটি আমলাতান্ত্রিক প্রতিষ্ঠানে পরিণত হয়েছে বলে মানুষ মনে করে—কমিশনের সাবেক চেয়ারম্যান অধ্যাপক মিজানুর রহমানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5233,97,2,1
9 December 2021,"সরকারের পাশাপাশি গণমাধ্যমের মালিকপক্ষের স্বার্থ, করপোরেট সংস্কৃতি ও সাংবাদিকদের ব্যক্তিস্বার্থ অনুসন্ধানী সাংবাদিকতার পথে বাধা হয়ে দাঁড়িয়েছে। টিআইবির এই বক্তব্যের সঙ্গে আপনি কি একমত?",4615,97,2,1
8 December 2021,বিতর্কিতরা সরকার বা দলের সঙ্গে সম্পৃক্ত হলেও তাঁদের অপসারণ করা হবে—শিক্ষামন্ত্রী দীপু মনির এ কথার বাস্তবায়ন ঘটবে বলে আপনি মনে করেন?,3842,11,87,2
7 December 2021,নারী ও বর্ণবিদ্বেষী বক্তব্যের জন্য মুরাদ হাসানের সংসদ সদস্য পদ বাতিলের দাবি উঠেছে—এ দাবি যৌক্তিক বলে আপনি মনে করেন?,9223,96,3,1
6 December 2021,বাংলাদেশ-ভারত চলাচলে ভিসা প্রথা তুলে দেওয়া উচিত—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?,7695,54,45,1
5 December 2021,প্রাথমিক শিক্ষা সমাপনী (পিইসি) পরীক্ষা অবিলম্বে বাতিল করার প্রস্তাব দিয়েছে ঢাকা বিশ্ববিদ্যালয়ের শিক্ষা ও গবেষণা ইনস্টিটিউট। আপনি কি তা সমর্থন করেন?,4674,91,8,1
4 December 2021,দক্ষিণ এশিয়ার বড় শহরগুলোতে পানি সরবরাহকারী সংস্থাগুলোর মধ্যে ঢাকা ওয়াসা ‘রোল মডেল’—সংস্থাটির ব্যবস্থাপনা পরিচালক তাকসিম এ খানের এ দাবি যৌক্তিক বলে কি আপনি মনে করেন?,6421,3,96,1
3 December 2021,করোনার নতুন ধরন অমিক্রন ঠেকাতে দক্ষিণ আফ্রিকাসহ ৭ দেশ থেকে এলে ১৪ দিনের প্রাতিষ্ঠানিক কোয়ারেন্টিন বাধ্যতামূলক করা হয়েছে—সরকার তা কার্যকর করতে পারবে বলে আপনি মনে করেন?,3816,5,94,1
2 December 2021,সরকারের ভালোর জন্যই খালেদা জিয়াকে উন্নত চিকিৎসার লক্ষ্যে বিদেশে পাঠানো দরকার— মির্জা ফখরুল ইসলাম আলমগীরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,3763,82,15,3
1 December 2021,আজ্ঞাবহ নির্বাচন কমিশন গঠনের জন্য সরকার ইসি নিয়োগসংক্রান্ত আইন করতে চায় না—আইনজীবী শাহদীন মালিকের এ বক্তব্যের সঙ্গে আপনি কি একমত?,4229,95,4,1
30 November 2021,ঢাকার মতো সারা দেশের গণপরিবহনে হাফ পাস (অর্ধেক ভাড়া) চালুর দাবি জানিয়েছেন আন্দোলনরত শিক্ষার্থীরা। তাঁদের এই দাবি যৌক্তিক বলে কি আপনি মনে করেন?,5507,94,5,1
29 November 2021,করোনার উদ্বেগজনক ধরন অমিক্রনের সংক্রমণ রোধে সরকার যথাযথভাবে প্রস্তুত বলে মনে করেন কি?,5402,5,94,1
28 November 2021,"বিনা নোটিশে ধর্মঘটের মাধ্যমে সড়ক পরিবহনব্যবস্থাকে অচল, জনগণকে জিম্মি করে দাবি আদায়কারী পরিবহনমালিক ও শ্রমিকদের বিরুদ্ধে সরকারকে শাস্তিমূলক ব্যবস্থা নিতে দেখা যায় না। জাতীয় পার্টির চেয়ারম্যান জি এম কাদেরের বক্তব্যের সঙ্গে কি আপনি একমত?",4474,98,1,1
27 November 2021,"ঢাকা সড়ক পরিবহন মালিক সমিতির নেতা খন্দকার এনায়েত উল্যাহ বলেছেন, ঢাকায় চলাচলকারী পরিবহনমালিকদের ৮০ শতাংশ গরিব—আপনিও কি তা-ই মনে করেন?",6023,3,96,1
26 November 2021,উন্নত চিকিৎসার জন্য বিদেশে যেতে খালেদা জিয়াকে রাষ্ট্রপতির কাছে ক্ষমা চাওয়ার পরামর্শ দিয়েছেন আওয়ামী লীগ নেতা মাহবুব উল আলম হানিফ। বিএনপি চেয়ারপারসন তা করবেন বলে আপনি কি মনে করেন?,7389,7,91,2
25 November 2021,"যুক্তরাষ্ট্র সম্ভবত দুর্বল গণতান্ত্রিক রাষ্ট্রগুলোকে আমন্ত্রণ জানিয়েছে, বৈশ্বিক গণতন্ত্র সম্মেলনে বাংলাদেশ আমন্ত্রণ না পাওয়া প্রসঙ্গে পররাষ্ট্রমন্ত্রী আব্দুল মোমেনের এই বক্তব্য সমর্থন করেন কি?",5900,5,94,1
24 November 2021,"জিএমজি এয়ারলাইনস ও বেক্সিমকো সিনথেটিকসে বিনিয়োগকারীদের অর্থ ফেরত দেওয়ার কথা বলেছেন বেক্সিমকো গ্রুপের ভাইস প্রেসিডেন্ট সালমান এফ রহমান, তাঁর এই বক্তব্যে আপনার আস্থা আছে কি?",5243,6,93,1
23 November 2021,খেলাপি ঋণ এক লাখ কোটি টাকা ছাড়িয়েছে—আপনি কি মনে করেন এই অর্থ উদ্ধারে সরকারের উদ্যোগ যথেষ্ট?,4117,2,97,1
22 November 2021,"বিএনপির আন্দোলন রাজপথে নয়, তাদের আন্দোলন ফেসবুক আর মিডিয়ানির্ভর—আওয়ামী লীগ সাধারণ সম্পাদক ওবায়দুল কাদেরের এ কথার সঙ্গে আপনি কি একমত?",3778,61,35,4
21 November 2021,"বিএনপি চায় খালেদা জিয়া অসুস্থই থাকুন, তাহলে তাঁকে বিদেশে পাঠানোর দাবি তোলা যাবে— তথ্যমন্ত্রী হাছান মাহমুদের এ বক্তব্যের সঙ্গে আপনি কি একমত?",5156,9,89,2
20 November 2021,"দেশে এক দিনের গণতন্ত্র ছিল, সেটিও হারিয়েছি—সুজন সম্পাদক বদিউল আলম মজুমদারের এই কথার সঙ্গে আপনি কি একমত?",5684,94,5,1
19 November 2021,মহাখালী থেকে বনানী পর্যন্ত সড়কে যানবাহন গতিশীল রাখতে এই পথে থাকা অনুমোদনহীন ভবন অপসারণে সরকার ব্যবস্থা নেবে বলে মনে করেন কি?,3751,6,93,1
18 November 2021,ঢাকায় বাসে ‘সিটিং সার্ভিস’ বন্ধ না হওয়ার পেছনে সরকারের সংশ্লিষ্ট কর্তৃপক্ষগুলোর গাফিলতি আছে বলে মনে করেন কি?,3431,98,1,1
17 November 2021,"সেট টপ বক্সের ক্রয়মূল্য নির্ধারণ করে দেওয়ার দাবি জানিয়েছেন কেব্‌ল টিভি ফিড অপারেটররা, তাঁদের এই দাবির সঙ্গে আপনি কি একমত?",3409,96,3,1
16 November 2021,নগরবাসীকে ‘প্রয়োজন ছাড়া’ ঢাকা বিশ্ববিদ্যালয় ক্যাম্পাসে যেতে বারণ করেছে বিশ্ববিদ্যালয় কর্তৃপক্ষ—তাদের এই সিদ্ধান্ত যৌক্তিক বলে আপনি কি মনে করেন?,3644,73,26,1
15 November 2021,ইউনিয়ন পরিষদ নির্বাচন ঘিরে ‘সে রকম’ কোনো সহিংসতা হচ্ছে না—প্রধান নির্বাচন কমিশনার কে এম নূরুল হুদার এই বক্তব্যের সঙ্গে আপনি কি একমত?,5421,3,96,1
14 November 2021,দেশের প্রধান রাজনৈতিক দলগুলোর অসহিষ্ণু মনোভাব গণতন্ত্রকে অন্তিম অবস্থায় নিয়ে গেছে—নির্বাচন কমিশনার মাহবুব তালুকদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?,7334,96,3,1
13 November 2021,দলীয় সরকারের অধীনে নিরপেক্ষ নির্বাচন হয় না– ড. কামাল হোসেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?,8728,94,5,1
12 November 2021,দ্বিতীয় ধাপের ইউনিয়ন পরিষদ নির্বাচন খুব সুষ্ঠু ও উৎসবমুখর হয়েছে—ইসি সচিব হুমায়ুন কবীরের এ বক্তব্যের সঙ্গে আপনি কি একমত?,3624,5,94,1
11 November 2021,বিশ্ববাজারে দাম কমার সঙ্গে সঙ্গে দেশের বাজারে জ্বালানি তেলের দাম সমন্বয় করা হবে—জ্বালানিসচিবের এ কথায় আপনার আস্থা আছে কি?,3304,3,96,1
10 November 2021,ভাড়ানৈরাজ্য বন্ধে রাজধানীতে সিটিং ও গেটলক বাস সার্ভিস উঠিয়ে দেওয়া হচ্ছে। আপনি কি তা সমর্থন করেন?,3365,91,7,2
9 November 2021,চলমান ইউনিয়ন পরিষদ নির্বাচনে আইনশৃঙ্খলা রক্ষায় নির্বাচন কমিশন সম্পূর্ণ ব্যর্থ হয়েছে—জাতীয় পার্টির (জাপা) চেয়ারম্যান জি এম কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,3390,96,3,1
8 November 2021,"ডিজেলের মূল্য ও বাসভাড়া বৃদ্ধি সরকারের পাতানো ও সাজানো খেলা বলে মন্তব্য করেছেন বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম, আপনিও কি তা–ই মনে করেন?",5402,94,5,1
7 November 2021,জ্বালানি তেলের মূল্যবৃদ্ধির কারণে সব মিলিয়ে সাধারণ মানুষের ওপর ভয়াবহ চাপ তৈরি হয়েছে—ক্ষুদ্র ব্যবসায়ী নজরুল ইসলামের এ কথার সঙ্গে আপনি কি একমত?,5805,99,1,0
6 November 2021,"জ্বালানি তেলের মূল্য সমন্বয়ের অজুহাতে কেউ যেন অন্যায়ভাবে দ্রব্যমূল্য ও পরিবহন ভাড়া বৃদ্ধি করতে না পারে, সে বিষয়ে সরকার সচেষ্ট থাকবে—সড়ক পরিবহনমন্ত্রী ওবায়দুল কাদেরের এ কথায় আপনি কি আশ্বস্ত?",5688,2,97,1
5 November 2021,"জ্বালানি তেলের মূল্যবৃদ্ধির জেরে পরিবহন ধর্মঘটে জনগণের যে ভোগান্তি হয়েছে, তার পেছনে সরকারের গাফিলতি রয়েছে বলে আপনি কি মনে করেন?",5307,98,2,0
4 November 2021,এক লাফে ডিজেল ও কেরোসিনের দাম লিটারে ১৫ টাকা বাড়ানোর সিদ্ধান্ত যৌক্তিক হয়েছে বলে মনে করেন কি?,5701,4,96,0
3 November 2021,বাংলাদেশ ক্রিকেট দলের ব্যর্থতার জন্য নীতিনির্ধারকদের দায় রয়েছে বলে মনে করেন সাবেক অধিনায়ক গাজী আশরাফ হোসেন। আপনি কি তা মনে করেন?,5218,96,3,1
2 November 2021,ইউনিয়ন পরিষদ নির্বাচন ঘিরে মাঠপর্যায়ে নির্বাচন কমিশনের যথাযথ নিয়ন্ত্রণ রয়েছে—প্রধান নির্বাচন কমিশনার কে এম নূরুল হুদার এই বক্তব্যের সঙ্গে আপনি কি একমত?,3920,97,2,1
1 November 2021,আওয়ামী লীগ ও বিএনপির পাল্টাপাল্টি দোষারোপের রাজনীতিতে ধর্ম ব্যবসায়ীরা পার পেয়ে যাচ্ছে—ঐক্য ন্যাপের সভাপতি পঙ্কজ ভট্টাচার্যের এ বক্তব্যের সঙ্গে আপনি কি একমত?,2535,81,16,3
31 October 2021,বিএনপিকে মানুষ আওয়ামী লীগের বিকল্প ভাবতে পারছে না—ওবায়দুল কাদেরের এ কথার সঙ্গে আপনি কি একমত?,4735,16,82,2
30 October 2021,"রামপাল বিদ্যুৎকেন্দ্র থেকে দূষণ ঘটবে ‘খুব কম’, কিন্তু এই প্রকল্প নিয়ে হইচই বেশি হয়—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এ বক্তব্যের সঙ্গে কি আপনি একমত?",4630,7,92,1
29 October 2021,"একের পর এক ম্যাচে খেলোয়াড়দের ‘ক্যাচ মিস’ দলের জন্য দুশ্চিন্তার কারণ হয়ে দাঁড়িয়েছে, অধিনায়ক মাহমুদউল্লাহর এই বক্তব্য যৌক্তিক মনে করেন কি?",4967,94,5,1
28 October 2021,দেশের শিক্ষাব্যবস্থার কারণে ধর্মপ্রাণের চেয়ে ধর্মান্ধ মানুষ বেশি —আওয়ামী লীগ নেতা মাহবুব উল আলম হানিফের এ বক্তব্য যৌক্তিক বলে মনে করেন কি?,4450,55,43,2
27 October 2021,"ফোনে অন্যায়ভাবে আড়ি পাতাকে মৌলিক অধিকার খর্বের শামিল বলেছেন ভারতের সুপ্রিম কোর্ট, আপনিও কি তা–ই মনে করেন?",3402,95,4,1
26 October 2021,দল খারাপ করলে শুধু ক্রিকেটারদেরই কাঠগড়ায় দাঁড় না করিয়ে কোচদেরও জবাবদিহির আওতায় আনা উচিত বলে মনে করেন মাশরাফি বিন মুর্তজা। আপনি কি তাঁর সঙ্গে একমত?,6575,93,6,1
25 October 2021,আগামী দুই থেকে তিন মাসের মধ্যে ই-কমার্স খাতে শৃঙ্খলা ফিরে আসবে—বাণিজ্যমন্ত্রীর এই কথায় আপনার আস্থা আছে কি?,3967,4,95,1
24 October 2021,"বাজারে কোনো পণ্যের দাম বাড়লেই মধ্যস্বত্বভোগীদের দৌরাত্ম্যের কথা বলা হয়, যা ঠিক নয়—পরিকল্পনা প্রতিমন্ত্রী শামসুল আলমের এই কথার সঙ্গে আপনি কি একমত?",2910,5,94,1
23 October 2021,ধর্মীয় সম্প্রীতিতে বাংলাদেশ পৃথিবীর ‘নাম্বার ওয়ান’—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?,5074,50,48,2
22 October 2021,সরকারি কর্মচারীদের জিপিএফ–সিপিএফ তহবিলের সুদের হার প্রায় ২ শতাংশ কমানোর সিদ্ধান্ত যৌক্তিক বলে মনে করেন কি?,2849,33,64,3
21 October 2021,"সহিংস ঘটনার পর প্রধান রাজনৈতিক দলগুলো একে অন্যকে দোষারোপ করতে শুরু করে, মানবাধিকার সংগঠন আসকের এই বক্তব্যের সঙ্গে আপনি কি একমত?",2462,97,2,1
19 October 2021,ই-কমার্স ব্যবসায় সম্পৃক্ত সবাইকে নিবন্ধনের আওতায় আনার সিদ্ধান্ত নিয়েছে সরকার। এতে প্রতারণা বন্ধ হবে বলে আপনি মনে করেন কি?,2472,15,83,2
